Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
-48.33,74.89,-41.96,-32.93,-35.37,-0.11
