Joint1(deg),Joint2(deg),Joint3(deg),Joint4(deg),Joint5(deg),Joint6(deg)
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.46,73.96,-42.12,-33.31,-39.17,0.27
-45.45,73.97,-42.12,-33.30,-39.17,0.27
-45.45,73.97,-42.12,-33.30,-39.17,0.27
-45.45,73.97,-42.12,-33.30,-39.17,0.27
-45.45,73.97,-42.12,-33.30,-39.17,0.27
-45.13,73.94,-42.13,-33.20,-39.41,0.29
-45.13,73.94,-42.13,-33.20,-39.41,0.29
-45.13,73.94,-42.13,-33.20,-39.41,0.29
-45.13,73.94,-42.13,-33.20,-39.41,0.29
-44.54,73.94,-42.17,-33.09,-39.93,0.30
-44.54,73.94,-42.17,-33.09,-39.93,0.30
-44.54,73.94,-42.17,-33.09,-39.93,0.30
-44.54,73.94,-42.17,-33.09,-39.93,0.30
-43.82,73.95,-42.21,-32.98,-40.56,0.32
-43.82,73.95,-42.21,-32.98,-40.56,0.32
-43.82,73.95,-42.21,-32.98,-40.56,0.32
-43.82,73.95,-42.21,-32.98,-40.56,0.32
-43.15,73.97,-42.26,-32.89,-41.17,0.33
-43.15,73.97,-42.26,-32.89,-41.17,0.33
-43.15,73.97,-42.26,-32.89,-41.17,0.33
-43.15,73.97,-42.26,-32.89,-41.17,0.33
-42.67,73.98,-42.29,-32.82,-41.60,0.34
-42.67,73.98,-42.29,-32.82,-41.60,0.34
-42.67,73.98,-42.29,-32.82,-41.60,0.34
-42.67,73.98,-42.29,-32.82,-41.60,0.34
-43.13,73.97,-42.26,-32.87,-41.17,0.33
-43.13,73.97,-42.26,-32.87,-41.17,0.33
-43.13,73.97,-42.26,-32.87,-41.17,0.33
-43.13,73.97,-42.26,-32.87,-41.17,0.33
-42.82,73.89,-42.25,-32.70,-41.40,0.37
-42.82,73.89,-42.25,-32.70,-41.40,0.37
-42.82,73.89,-42.25,-32.70,-41.40,0.37
-42.82,73.89,-42.25,-32.70,-41.40,0.37
-42.29,73.82,-42.27,-32.51,-41.90,0.41
-42.29,73.82,-42.27,-32.51,-41.90,0.41
-42.29,73.82,-42.27,-32.51,-41.90,0.41
-42.29,73.82,-42.27,-32.51,-41.90,0.41
-41.69,73.76,-42.29,-32.32,-42.52,0.45
-41.69,73.76,-42.29,-32.32,-42.52,0.45
-41.69,73.76,-42.29,-32.32,-42.52,0.45
-41.69,73.76,-42.29,-32.32,-42.52,0.45
-41.12,73.71,-42.32,-32.17,-43.11,0.48
-41.12,73.71,-42.32,-32.17,-43.11,0.48
-41.12,73.71,-42.32,-32.17,-43.11,0.48
-41.12,73.71,-42.32,-32.17,-43.11,0.48
-40.72,73.68,-42.34,-32.06,-43.54,0.50
-40.72,73.68,-42.34,-32.06,-43.54,0.50
-40.72,73.68,-42.34,-32.06,-43.54,0.50
-40.72,73.68,-42.34,-32.06,-43.54,0.50
-40.58,73.68,-42.35,-32.04,-43.70,0.50
-40.58,73.68,-42.35,-32.04,-43.70,0.50
-40.58,73.68,-42.35,-32.04,-43.70,0.50
-40.58,73.68,-42.35,-32.04,-43.70,0.50
-40.48,73.60,-42.33,-31.90,-43.67,0.54
-40.48,73.60,-42.33,-31.90,-43.67,0.54
-40.48,73.60,-42.33,-31.90,-43.67,0.54
-40.48,73.60,-42.33,-31.90,-43.67,0.54
